policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_shape_hard,800,629,17,0.04125,68.06936329480538,888.8416528527259,73998.0,177167.8,185811.16000000003,25.0,965.0000000000006,1686.0000000000014,94793,4334694.57328,31713.88499998787,700025
yieldos_lite_v02_tick_50ms,800,783,17,0.035,118.32194410521014,2185.703886203104,92420.0,198140.1,216988.24,25.0,450.0,704.4999999999987,136456,13122917.7508,17149.103999999446,302800
yieldos_no_classifier,800,783,17,0.045,163.1932078989371,2181.088888247024,92034.0,197513.4,216815.73999999993,25.0,575.0,900.0,108143,13132085.098384,17101.088999999316,303525
yieldos_oracle_hard,800,629,17,0.02875,40.60853682620678,888.8071191198306,75390.0,175319.6,185199.96000000002,25.0,1005.0000000000011,2525.0,119533,4317131.665680001,31742.31599998789,700025
yieldos_noisy_hard,800,629,17,0.0325,45.22612696574101,888.7803051280503,76648.0,176508.40000000002,183763.6,25.0,925.0,2525.0,76799,4417632.243327463,31764.39299998788,700025
