policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_burstgpt,800,800,0,0.4575,367.6829633314574,821.8760287286387,3740.0,37335.0,37875.049999999996,125.0,125.0,125.0,0,0.0,0.0,3376.2240000000143,279400
yieldos_v02_lru_kv_burstgpt,800,800,0,0.45625,366.62167466986926,822.0892811520122,3740.0,37391.0,37890.0,125.0,125.0,125.0,0,0.0,0.0,3377.871000000009,279325
yieldos_v02_no_slo_notary_burstgpt,800,800,0,0.2575,206.24990602040202,761.1942118478621,19090.0,62898.25,64985.35,25.0,25.0,25.0,0,0.0,0.0,4518.9270000000615,300800
distserve_disaggregated_burstgpt,800,800,0,0.4875,442.60594729881507,921.8342673777026,1092.5,14040.25,14815.0,25.0,25.0,25.0,0,0.0,0.0,1638.6479999999965,250475
