policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_burstgpt,800,373,0,0.46625,133.43152641642587,133.43152641642587,45.0,115.0,140.0,25.0,25.0,25.0,0,0.0,0.0,539.7479999999131,750025
yieldos_v02_lru_kv_burstgpt,800,373,0,0.46625,133.4315280163994,133.4315280163994,45.0,115.0,140.0,25.0,25.0,25.0,0,0.0,0.0,539.7389999999131,750025
yieldos_v02_no_slo_notary_burstgpt,800,373,0,0.46625,133.4315280163994,133.4315280163994,45.0,115.0,136.39999999999986,25.0,25.0,25.0,0,0.0,0.0,539.7389999999131,750025
distserve_disaggregated_burstgpt,800,373,0,0.46625,133.43181921222637,133.43181921222637,20.0,90.0,111.39999999999986,25.0,25.0,25.0,0,0.0,0.0,538.1009999999136,750025
