policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_replay,800,776,24,0.27,530.6901729620423,1810.7512040254612,4397.0,13465.5,14452.75,75.0,100.0,100.0,80509,541872.1474739457,33766.3080842752,1503.153000000004,63450
yieldos_v02_lru_kv_replay,800,776,24,0.27,530.4822454502414,1810.0417411193703,4419.0,13447.5,14455.0,75.0,100.0,100.0,81030,544021.3626613378,25659.5,1503.6120000000028,63475
yieldos_v02_no_slo_notary_replay,800,773,27,0.17125,258.7774740212934,1587.3896268044343,9977.0,23424.8,24168.039999999997,25.0,25.0,25.0,81879,576125.7982300906,34258.8476,2066.5530000000267,71800
distserve_disaggregated_replay,800,780,20,0.2725,488.4996503996337,1914.4595929074083,3811.5,13948.049999999997,15460.510000000002,25.0,401.24999999999886,2264.2500000000155,69516,369549.1013327193,24274.09,1258.002,60175
