policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_burstgpt,800,800,0,0.9725,491.14664615367406,505.3656055423386,240.0,460.0,1482.149999999998,75.0,125.0,125.0,0,0.0,0.0,1353.9419999999832,458525
yieldos_v02_lru_kv_burstgpt,800,800,0,0.9725,491.14651158682443,505.3654670797063,240.0,460.0,1665.2999999999997,75.0,125.0,125.0,0,0.0,0.0,1354.0679999999836,458525
yieldos_v02_no_slo_notary_burstgpt,800,800,0,0.4725,230.46299903062015,490.9683867499229,1907.5,18330.25,19475.3,25.0,25.0,25.0,0,0.0,0.0,1814.489999999999,471550
distserve_disaggregated_burstgpt,800,800,0,1.0,507.7732377405739,507.7732377405739,25.0,100.24999999999977,145.0,25.0,25.0,25.0,0,0.0,0.0,1073.4029999999827,456625
