policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_burstgpt,800,81,0,0.10125,34.09574542787504,34.09574542787504,50.0,100.0,125.0,25.0,25.0,25.0,0,0.0,0.0,185.9039999999448,750025
yieldos_v02_lru_kv_burstgpt,800,81,0,0.10125,34.09574542787504,34.09574542787504,50.0,100.0,125.0,25.0,25.0,25.0,0,0.0,0.0,185.9039999999448,750025
yieldos_v02_no_slo_notary_burstgpt,800,81,0,0.10125,34.09574501884113,34.09574501884113,50.0,100.0,125.0,25.0,25.0,25.0,0,0.0,0.0,185.91299999994482,750025
distserve_disaggregated_burstgpt,800,81,0,0.10125,34.09575810793135,34.09575810793135,25.0,75.0,100.0,25.0,25.0,25.0,0,0.0,0.0,185.6249999999451,750025
