policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_lite_v02_tick_5ms,800,778,22,0.2925,420.6665909890331,1424.2894784661664,12724.5,28647.849999999995,31288.570000000003,25.0,250.0,900.0,63523,257930.181632,29186.198999995566,116775
yieldos_lite_v02_tick_10ms,800,778,22,0.29,430.101299353098,1454.8354901369166,12638.0,28940.349999999995,31168.43,25.0,225.0,830.7500000000005,63388,265366.22291136,14596.569000000882,128300
yieldos_lite_v02_tick_25ms,800,778,22,0.2925,503.4143347511621,1698.3708389307837,12813.5,28879.1,31225.92,25.0,225.0,775.0,62679,253926.931632,5856.129000000146,116550
yieldos_lite_v02_tick_50ms,800,778,22,0.28625,507.87837079863357,1727.1935609962168,12755.5,28960.399999999998,31631.11,25.0,203.74999999999943,861.5000000000009,65176,296950.05432,2938.4640000000363,117425
yieldos_lite_v02_tick_75ms,800,778,22,0.28875,514.5475615058427,1742.9457108013485,12729.5,28955.349999999995,31625.0,25.0,250.0,900.0,63523,243819.431632,1950.6600000000192,117325
yieldos_lite_v02_tick_100ms,800,778,22,0.2875,522.1234478141515,1763.5217821207436,12562.0,28292.7,31057.82,25.0,225.0,850.0,61993,301928.45874545973,1458.999000000005,116425
yieldos_lite_v02_tick_200ms,800,778,22,0.235,430.3923824627853,1766.8780170333905,12626.0,28570.85,31399.240000000005,25.0,250.0,775.0,57759,248586.565008,735.0750000000013,116925
