policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_lite_v02_tick_5ms,800,706,94,0.04375,20.110161260172383,639.5230507274108,36448.5,74726.25,78968.8,25.0,25.0,25.0,189200,7534278.941154195,5079957.129009664,52259.99399999743,118400
yieldos_lite_v02_tick_10ms,800,706,94,0.045,24.728989005077327,761.1242495778749,36751.5,73671.75,77845.75000000001,25.0,25.0,25.0,220773,9525078.510282315,5199997.01709568,26019.458999999544,117375
yieldos_lite_v02_tick_25ms,800,706,94,0.045,27.539093125082076,847.6153871304521,36300.5,74501.25,78894.1,25.0,25.0,25.0,202918,7967716.615950773,5131454.948843264,10462.410000000013,118300
yieldos_lite_v02_tick_50ms,800,706,94,0.04625,29.82172092818936,886.3759378604343,36345.5,74495.0,78980.35000000002,25.0,25.0,25.0,193728,8045727.659355641,5071964.764398079,5231.727000000048,117900
yieldos_lite_v02_tick_75ms,800,706,94,0.04625,32.59016535166813,887.4558973668691,36398.0,75474.25,79819.10000000002,25.0,25.0,25.0,175222,7211941.346161339,5076121.4666163195,3506.886000000016,119475
yieldos_lite_v02_tick_100ms,800,706,94,0.0325,23.14636561247444,903.5112622714853,36567.5,74229.5,78574.70000000001,25.0,25.0,25.0,198192,8642173.506786468,5006204.203239527,2621.5020000000104,118175
yieldos_lite_v02_tick_200ms,800,705,95,0.0325,24.878259687451273,903.2549744722933,37654.0,75801.4,79834.28000000001,25.0,25.0,25.0,162659,7852056.653951817,5141966.433761516,1362.2129999999984,119225
