policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
distserve_disaggregated,800,703,97,0.01375,18.297261750615373,924.5343759061519,39496.0,85286.1,90917.04000000001,25.0,25.0,25.0,176084,4877996.1445184,5717.880000000026,111950
yieldos_lite_v02_tick_50ms,800,706,94,0.04625,29.82172092818936,886.3759378604343,36345.5,74495.0,78980.35000000002,25.0,25.0,25.0,193728,5071964.764398079,5231.727000000048,117900
yieldos_v02_lru_kv,800,706,94,0.04375,28.115636579423086,885.3343023412623,36583.0,73831.5,78245.35,25.0,25.0,25.0,219256,5223037.727502797,5226.597000000064,118050
yieldos_v02_no_slo_notary,800,706,94,0.03375,27.371397801950955,897.0155474308336,39144.0,76619.5,80429.35000000002,25.0,25.0,25.0,172026,5088429.830267453,5648.310000000017,115975
